,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
Mycbp2,0.00018774528470994931,0.003293582750164539,0.0,0.0016333884729135475,0.0007774707914207709,0.0005780859649981789,0.00146110241689203,0.0017804654819066422,0.00021420129489038202,0.001972746808060655,0.001329257303712023,0.00014735688053276326,0.002020313285201148,0.0036789361305092903,0.0024136096715084623,0.0025186405726648864
Myo1b,0.0,0.0008319854201361256,0.0,9.942497177387299e-05,0.0,0.0,0.0,0.0017298565090849362,0.0,0.00011198566353740125,0.0002502527184259233,0.0,0.0,0.0,0.0007735005568455497,0.0
Myo1d,0.00010628037910480628,0.0,0.00030558889583424416,0.0,0.0005881686329707138,0.0021013909746392797,0.0,0.0002880353596168893,0.0,0.0,0.0010360957664604627,0.0,0.0,1.2600241994849188e-05,0.0002294306001500889,7.061896515455681e-05
Myo6,0.001704273325670126,0.0011309000180308034,0.003832971012689357,0.0,0.0036177290316286408,0.0013420101786383515,0.0017868867248134095,0.0016292742545063706,0.002682703975310971,0.0010548272975343283,0.0030112121420428225,0.0005780072431054968,0.0016185247647727112,0.0059432165352952095,0.0,0.004651322695353329
Naaa,0.0,0.002188645962631447,0.001807426635817753,0.0,0.0007108723909649474,0.0,0.0005647556033848495,0.0010578554307541332,0.00031200949580237396,0.0031360343970812934,0.003356375116411759,0.001204346905830698,0.0012974118867968495,0.0,7.204181028546741e-05,0.0011225634099557278
Nadk,0.00038941699455725845,0.0,0.00043610409868643374,0.0013877923872616848,0.0006926972633823075,0.0003422801213692492,0.0020036455618697283,0.0007788179767522553,0.0007546144700919662,0.0007404336680201867,0.0012637560104771942,0.00032242269311675014,0.0006407708665493815,0.00033536812974449185,0.00012984373253454933,0.00024395005481395214
Nap1l5,0.0,0.000914689645325432,6.7584043097412375e-06,0.0009895329727216565,6.660844169380905e-05,0.0003542504667780154,0.0,0.000781962546777505,0.000438973056968247,0.0,0.0,0.0001273768411409105,0.0,0.0,0.0,0.0
Ncald,0.0,0.0,0.0,0.0,0.0003120147399478838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010470802697391761
Ncam1,0.0038148768651383807,0.0008619763758615089,0.0025139546951963017,0.0021560174502245036,0.002360179811145592,0.0024350328691645894,0.0015509162036740777,0.0034896058120174565,0.0011125204435526788,0.000850958658635886,0.0018123235200894088,0.0016784462711172735,0.0034049749503178833,0.004333367713216541,0.0022275188858639637,0.00637056452606958
Ncam2,0.0,0.0028168430327963445,0.0008777715950840963,0.0,0.0,0.0013159670578122011,0.0,0.0,0.0019001695621364578,0.001680416924494606,0.0005023232430127182,0.0,0.0,0.0005481555973194364,0.00036762186574191056,0.0008668701485664037
Nceh1,0.0003951093345039634,0.0012324255451582038,0.0006120712726487944,0.0009592068972977484,0.0011382495891756744,0.0014388513495448472,1.0009564192973951e-05,0.0,0.001108737284521132,0.0007364958112097843,0.00045847541854670545,0.00024851179580127967,0.0,0.000844143483761592,0.0,0.0024042250919320248
Ncoa1,0.0009404861105028376,0.0028757888871160583,0.00015976611032085278,0.0017097548232902873,0.0008971289249250875,0.0009778623673707574,0.000999669074240519,0.0009066169231928582,0.0013050144797790567,0.0005232132631204461,0.0015219932527290839,0.00012646470661038721,0.000288554152359625,0.003152206964191989,0.0008307103354563575,0.0009334747439038146
Ndfip1,0.0014422936316555565,0.0004776065228971521,0.0,0.0009871895694095617,0.00030227065279416496,0.001860575809973428,0.0,0.0017298058119182222,8.593928380661485e-05,0.0,0.0011228819229160648,0.0004258441148612064,0.0018811952549075757,0.0,0.00013050361768507854,0.0011490147751574325
Ndrg1,0.00037950403040915167,0.0,0.0,0.0,0.0014385632659871582,0.0001319210395256789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003163100862758719,0.0
Ndrg3,0.0014257690712377112,0.0009146059015232149,0.00040384023640018364,0.0018609211147907953,0.0007661193641899721,0.0023310353147582997,0.00021215826939646637,0.002011046376299467,0.0008325487733231273,0.0,0.00029307678107877975,0.0021720729762457736,0.0009023455691873292,0.0013804884631697604,0.0,0.0014394730264052711
